category,name,price,supplier,last_increase
VEG,Leeks,19.99,Food Lovers,
MEAT,Leg of Lamb (Deboned),224.98,N1 Suppliers,
MEAT,Leg of lamb (Mutton),174.98,N1 Suppliers,
MEAT,leg of lamb(Bone in),174.98,N1 Suppliers,
SAUCE,Lemon Juice,11.0,Basic Foods,
Uncategorised,MARITE POWDER,45.95,Unknown,
MEAT,Metro FQ Beef Goulash,85.98,N1 Suppliers,
DAIRY,MILK,24.333,Basic Foods,
FILLING,Mince Lean with Samoosa Spice,0,KHF,
FRUIT,Mixed Raisins,104.31304347826087,Checkers,
BAKERY,Muffin tubes,161.89,BASIC FOODS,
SPICE,Nutmeg,220.0,Basic Foods,
OIL,Oil,34.95,Gourmet Food,
OIL,Oil Blend,76.26,Basic Foods,
SPICE,Onion flakes,113.41,Basic Foods,
VEG,Onions Diced,0,Freezer Fresh,
MEAT,Ostrich Neck,54.95,N1 Suppliers,
PACKAGING,Outer Box,12.5,N1 Suppliers / Boland Printers,
PACKAGING,Outer Box SNACK LINE,10.23,Boland Drukpers,
VEG,Parsley,14.99,Food Lovers,
PASTRY,Pastry,12.36,KHF,
Uncategorised,Pastry King,31.2,Unknown,
VEG,Peppadews,152.15217391304347,PnP,
SPICE,Pepper Black Whole,220.17,Basic Foods,
SPICE,Pepper Caynne,65.74,Basic Foods,
SPICE,Pepper Ground Black,50.4,Gourmet Food,
SPICE,Pepper Pink,234.97,Basic Foods,
FILLING,Pepper Steak,392.86,KHF,
FILLING,Peri – Peri,323.15,KHF,
FILLING,Plain chicken,294.75,KHF,
FILLING,Plain Steak,645.84,KHF,
VEG,Potato Diced,0,Freezer Fresh,
SPICE,Powder Onion,56.95,Basic Foods,
SPICE,Pppercorn Green,75.0,Basic Foods,
PUFF,Puff Pastry,12.73,KHF,
VEG,Red Onion,24.99,Food Lovers,
VEG,Red Pepper,89.99,Food Lovers,
VEG,Rosemary,12.99,Food Lovers,
Uncategorised,RUSSIAN,3.7,N1 SUPPLIERS,
SPICE,Salt,7.7,Gourmet Food,
PASTRY,Samoosa Sheet,0.43479999999999996,Unknown,
SPICE,Samoosa Spice,100.0,Roomys Paleis,
Uncategorised,SANDWICH HAM,74.98,Unknown,
FLOUR,Selfraising flour,19.38,Pick a Pay,
SPICE,Smoked Paprika,59.76,Basic Foods,
SPICE,Smoking Chips,48.09,Basic Foods,
FILLING,Snack Line Mixed Veg,0,KHF,
Uncategorised,Soya,29.95,Unknown,
SAUCE,Soya Sauce,45.26,Basic Foods,
SPICE,Spice - Chicken N1,61.98,N1 Suppliers,
